pretrain_step,rl_step,n_rollouts,resp_len_mean,resp_len_median,resp_len_p95,resp_len_max,trunc_rate
15000,1950,1024,899.1,273,3584,3803,0.1494
15000,2000,1024,708.0,220,3584,3712,0.1123
15000,2050,1024,921.1,259,3584,3776,0.168
15000,2100,1024,926.7,232,3584,4011,0.1748
15000,2150,1024,910.0,219,3584,3766,0.1748
15000,2200,1024,889.0,193,3584,3737,0.165
15000,2250,1024,848.1,223,3584,3726,0.1445
15000,2300,1024,913.7,262,3584,3653,0.1699
15000,2350,1024,855.3,212,3584,3662,0.1504
15000,2400,1024,971.4,245,3584,3680,0.1777
15000,2450,1024,1032.1,212,3584,3652,0.1973
15000,2500,1024,1123.7,299,3585,3821,0.2207
15000,2550,1024,1072.3,255,3586,3763,0.209
15000,2600,1024,1069.4,246,3585,3723,0.2168
15000,2650,1024,974.5,187,3585,3775,0.2012
15000,2700,1024,1056.9,221,3585,3839,0.2119
15000,2750,1024,1049.2,221,3586,3800,0.2217
15000,2800,1024,1116.5,257,3586,3826,0.2324
15000,2850,1024,1146.5,276,3586,3793,0.2275
15000,2900,1024,1252.0,263,3586,3814,0.2656
15000,2950,1024,845.6,181,3585,3950,0.1553
15000,3000,1024,1178.5,244,3588,3894,0.2578
20000,50,1024,516.3,468,999,3699,0.0049
20000,100,1024,490.6,439,892,3666,0.0059
20000,150,1024,418.7,390,767,3453,0.0
20000,200,1024,402.8,369,724,3558,0.0
20000,250,1024,391.0,355,769,2077,0.0
20000,300,1024,349.9,301,704,2008,0.0
20000,350,1024,310.0,247,634,3589,0.001
20000,400,1024,330.1,272,712,3584,0.001
20000,450,1024,330.8,251,739,3585,0.001
20000,500,1024,298.3,218,698,3584,0.002
20000,550,1024,301.5,236,687,3708,0.001
20000,600,1024,336.1,262,762,3584,0.001
20000,650,1024,332.7,207,836,3587,0.0049
20000,700,1024,359.4,256,903,3585,0.0029
20000,750,1024,343.7,252,776,3584,0.0039
20000,800,1024,295.7,203,758,3588,0.0029
20000,850,1024,346.5,225,867,3586,0.0078
20000,900,1024,391.3,232,1004,3588,0.0156
20000,950,1024,379.0,231,1017,3587,0.0127
20000,1000,1024,322.3,183,789,3584,0.0098
20000,1050,1024,335.4,215,798,3609,0.0117
20000,1100,1024,430.1,230,1281,3595,0.0254
20000,1150,1024,414.3,236,1136,3896,0.0186
20000,1200,1024,389.5,212,1201,3586,0.0205
20000,1250,1024,494.2,222,2624,3586,0.0381
20000,1300,1024,481.5,237,2145,3587,0.0332
20000,1350,1024,495.8,246,2134,3676,0.0303
20000,1400,1024,510.6,242,2379,3865,0.0312
20000,1450,1024,561.2,244,3584,3648,0.0527
20000,1500,1024,499.3,212,3229,3589,0.041
20000,1550,1024,590.5,282,3583,3587,0.0459
20000,1600,1024,606.1,270,3584,3607,0.0596
20000,1650,1024,577.5,245,3584,3589,0.0596
20000,1700,1024,712.9,262,3584,3710,0.0889
20000,1750,1024,632.3,229,3584,3615,0.0693
20000,1800,1024,641.1,232,3584,3591,0.0771
20000,1850,1024,757.4,281,3584,3653,0.0889
20000,1900,1024,611.3,210,3584,3651,0.083
20000,1950,1024,742.6,222,3584,3595,0.1094
20000,2000,1024,726.3,212,3584,3635,0.1025
20000,2050,1024,801.1,264,3584,3612,0.1094
20000,2100,1024,858.7,240,3584,3770,0.1348
20000,2150,1024,879.3,229,3584,3681,0.1367
20000,2200,1024,699.6,184,3584,3605,0.0947
20000,2250,1024,714.4,203,3584,3642,0.1055
20000,2300,1024,887.6,248,3584,3598,0.1455
20000,2350,1024,911.3,231,3584,3649,0.1562
20000,2400,1024,917.6,246,3584,3662,0.1387
20000,2450,1024,897.2,222,3584,3924,0.1406
20000,2500,1024,1075.1,273,3584,3609,0.2021
20000,2550,1024,857.9,221,3584,3601,0.1367
20000,2600,1024,959.0,251,3584,3684,0.1689
20000,2650,1024,746.0,194,3584,3640,0.1172
20000,2700,1024,1017.8,224,3584,3681,0.1963
20000,2750,1024,903.3,211,3584,3624,0.1641
20000,2800,1024,1033.4,252,3585,3718,0.1973
20000,2850,1024,1117.3,267,3585,3671,0.2148
20000,2900,1024,1115.0,241,3584,3621,0.2139
20000,2950,1024,781.5,181,3584,3878,0.1426
20000,3000,1024,943.7,227,3584,3633,0.1709
25000,50,1024,489.4,454,875,3593,0.002
25000,100,1024,446.9,413,835,3591,0.002
25000,150,1024,416.4,364,792,3617,0.002
25000,200,1024,403.3,369,738,3585,0.001
25000,250,1024,402.3,365,777,1920,0.0
25000,300,1024,347.9,287,711,3561,0.0
25000,350,1024,332.9,258,714,3584,0.001
25000,400,1024,347.0,296,729,2722,0.0
25000,450,1024,308.2,244,666,2334,0.0
25000,500,1024,304.4,224,691,3345,0.0
25000,550,1024,290.8,223,670,3577,0.0
25000,600,1024,344.0,268,770,3584,0.0029
25000,650,1024,327.6,241,705,3587,0.0029
25000,700,1024,373.2,273,882,3584,0.0029
25000,750,1024,353.1,277,777,3584,0.0039
25000,800,1024,307.1,213,706,3584,0.0039
25000,850,1024,332.8,250,745,3584,0.0029
25000,900,1024,370.2,260,837,3624,0.0078
25000,950,1024,383.5,249,932,3585,0.0137
25000,1000,1024,384.9,228,970,3585,0.0146
25000,1050,1024,343.4,238,789,3587,0.0088
25000,1100,1024,401.6,257,932,3587,0.0186
25000,1150,1024,413.9,240,1143,3588,0.0186
25000,1200,1024,389.2,225,1007,3589,0.0234
25000,1250,1024,427.2,208,1335,3720,0.0283
25000,1300,1024,424.2,229,1226,3589,0.0312
25000,1350,1024,464.8,262,1260,3590,0.0322
25000,1400,1024,453.8,252,1232,3587,0.0225
25000,1450,1024,524.0,268,2561,3592,0.0352
25000,1500,1024,444.5,240,1324,3588,0.0264
25000,1550,1024,496.5,286,1451,3627,0.0332
25000,1600,1024,483.4,255,1950,3593,0.04
25000,1650,1024,421.4,220,1151,3590,0.0332
25000,1700,1024,491.6,247,2020,3587,0.0361
25000,1750,1024,478.7,211,3337,3594,0.041
25000,1800,1024,494.1,218,3582,3590,0.0449
25000,1850,1024,547.4,264,3583,3614,0.0479
25000,1900,1024,498.5,212,3584,3590,0.0566
25000,1950,1024,624.2,232,3584,3594,0.082
25000,2000,1024,487.6,201,3583,3589,0.0488
25000,2050,1024,602.3,280,3584,3587,0.0654
25000,2100,1024,677.0,257,3584,3714,0.0957
25000,2150,1024,662.8,234,3584,3636,0.0908
25000,2200,1024,586.6,191,3584,3622,0.0771
25000,2250,1024,516.4,214,3584,3592,0.0615
25000,2300,1024,707.1,238,3584,3644,0.1016
25000,2350,1024,636.9,214,3584,3724,0.0889
